,Unnamed: 0,Node1,Node2,Effet
0,0,Clients,Business as usual,+
1,1,Business as usual,Usage,+
2,2,Usage,Applications,+
3,3,Applications,Infrastructures,+
4,4,Infrastructures,Energie,+
5,5,Infrastructures,Matériaux,+
6,6,Energie,Coût,+
7,7,Matériaux,Coût,+
8,8,Matériaux,waste,+
9,9,Coût,Clients,-
10,10,Efficacité,Infrastructures,-
11,12,Efficacité,Applications,-
12,13,Business as usual,Algorithmes addictifs,+
13,14,Algorithmes addictifs,Clients,+
14,15,Algorithmes addictifs,Usage,+
15,16,Sobriété,Usage,-
16,17,Sobriété,Algorithmes addictifs,-
17,18,Business within planetary limits,Sobriété,+
18,19,Clients,Business within planetary limits,+
